RequestID;SubmitTime;Duration;DataProcessed;Submitter;Status;SessionID;DataProcessedGB
55453999;7/21/21, 11:14:03 PM;1 sec;23.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.023
55453789;7/21/21, 11:14:02 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55453603;7/21/21, 11:14:00 PM;2 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
55453165;7/21/21, 11:13:59 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55452898;7/21/21, 11:13:58 PM;1 sec;23.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.023
55452694;7/21/21, 11:13:56 PM;1 sec;29.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.029
55451667;7/21/21, 11:13:55 PM;1 sec;40.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.04
55451342;7/21/21, 11:13:54 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55447889;7/21/21, 11:13:49 PM;4 sec;38.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.038
55444072;7/21/21, 11:13:47 PM;2 sec;18.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.018
55443597;7/21/21, 11:13:45 PM;1 sec;12.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.012
55441875;7/21/21, 11:13:41 PM;4 sec;67.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.067
55441696;7/21/21, 11:13:39 PM;1 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55440098;7/21/21, 11:13:36 PM;2 sec;85.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.085
55438930;7/21/21, 11:13:34 PM;1 sec;32.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.032
55438003;7/21/21, 11:13:32 PM;2 sec;68.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.068
55437637;7/21/21, 11:13:30 PM;1 sec;55.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.055
55437032;7/21/21, 11:13:29 PM;0 sec;40.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.04
55436705;7/21/21, 11:13:26 PM;2 sec;111.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.111
55435804;7/21/21, 11:13:24 PM;2 sec;83.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.083
55435380;7/21/21, 11:13:22 PM;1 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
55432405;7/21/21, 11:13:16 PM;5 sec;90.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.09
55431611;7/21/21, 11:13:14 PM;2 sec;37.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.037
55431287;7/21/21, 11:13:12 PM;1 sec;28.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.028
55430879;7/21/21, 11:13:09 PM;2 sec;16.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.016
55430545;7/21/21, 11:13:08 PM;1 sec;55.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.055
55430075;7/21/21, 11:13:02 PM;5 sec;107.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.107
55429650;7/21/21, 11:13:01 PM;1 sec;35.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.035
55429090;7/21/21, 11:12:53 PM;8 sec;200.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.2
55427337;7/21/21, 11:12:52 PM;0 sec;15.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.015
55426749;7/21/21, 11:12:51 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55426361;7/21/21, 11:12:49 PM;1 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55422644;7/21/21, 11:12:47 PM;2 sec;42.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.042
55420325;7/21/21, 11:12:40 PM;6 sec;18.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.018
